pair_id,method,n_clusters,n_f1,n_f2,n_amb,has_both_folds,n_f1_centered,n_f2_centered,n_amb_centered,has_both_folds_centered,pair_median_used,TMdiff_spread,TMdiff_range,TMdiff_mean,best_score_f1,best_score_f2
1dzlA_5keqF,AF2,49,1,0,48,False,0,0,49,False,0.0052,0.0155,0.08,0.0072,0.3813,0.38
1dzlA_5keqF,AF3,49,0,0,49,False,0,0,49,False,0.0104,0.014,0.071,0.0075,0.6801,0.6645
1dzlA_5keqF,ESM,6,0,0,6,False,0,0,6,False,0.0016,0.0079,0.0218,0.0034,0.401,0.3884
1dzlA_5keqF,MSAT,5,0,0,5,False,0,0,5,False,0.0,0.0,0.0,0.0,0.0,0.0
1dzlA_5keqF,CCMpred,5,0,0,5,False,0,0,5,False,0.0,0.0,0.0,0.0,0.0,0.0
1dzlA_5keqF,DDG,49,0,49,0,False,21,21,7,True,-10.755,5.2027,31.1672,-10.789,-12.6434,-10.6035
1dzlA_5keqF,Boltz2,49,0,0,49,False,0,0,49,False,0.0025,0.0169,0.0779,-0.003,0.3894,0.4244
1eboE_5fhcJ,AF2,44,43,0,1,False,4,15,25,True,0.3841,0.1261,0.6257,0.3362,0.8673,0.3098
1eboE_5fhcJ,AF3,44,43,0,1,False,8,16,20,True,0.3735,0.1216,0.5392,0.3308,0.8217,0.3009
1eboE_5fhcJ,ESM,2,2,0,0,False,1,1,0,True,0.4089,0.1233,0.2466,0.4089,0.8799,0.3478
1eboE_5fhcJ,MSAT,2,0,0,2,False,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0
1eboE_5fhcJ,CCMpred,2,0,0,2,False,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0
1eboE_5fhcJ,DDG,44,1,38,5,True,20,17,7,True,-4.0164,2.9315,11.2695,-4.1231,-5.9531,-1.1261
1eboE_5fhcJ,Boltz2,44,30,0,14,False,18,17,9,True,0.1329,0.1752,0.5017,0.1929,0.8817,0.4459
1fzpD_2frhA,AF2,90,1,80,9,True,21,2,67,True,-0.2235,0.0818,0.4976,-0.1915,0.6338,0.8616
1fzpD_2frhA,AF3,90,1,77,12,True,20,2,68,True,-0.2315,0.0828,0.3769,-0.1932,0.6459,0.9383
1fzpD_2frhA,ESM,8,0,7,1,False,2,2,4,True,-0.1688,0.059,0.1801,-0.1625,0.6193,0.8499
1fzpD_2frhA,MSAT,8,0,2,6,False,0,2,6,False,0.0,0.059,0.1667,-0.0359,0.0625,0.1667
1fzpD_2frhA,CCMpred,8,0,0,8,False,0,0,8,False,0.0,0.0,0.0,0.0,0.0,0.0
1fzpD_2frhA,DDG,90,89,0,1,False,32,30,28,True,7.2166,2.5596,16.6941,7.4704,-2.1558,-1.9391
1iytA_2naoF,AF2,12,5,1,6,True,4,1,7,True,0.0141,0.0819,0.2678,0.0479,0.462,0.3119
1iytA_2naoF,AF3,12,5,0,7,False,5,1,6,True,0.045,0.1316,0.3792,0.13,0.541,0.3033
1iytA_2naoF,ESM,1,1,0,0,False,1,0,0,False,0.0,0.0,0.0,0.1488,0.4261,0.2773
1iytA_2naoF,MSAT,1,0,0,1,False,0,0,1,False,0.0,0.0,0.0,0.0141,0.0141,0.0
1iytA_2naoF,CCMpred,1,0,0,1,False,0,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0
1iytA_2naoF,DDG,12,0,0,12,False,0,0,12,False,0.1346,0.2571,0.9196,0.1207,0.1099,-0.0297
1iytA_2naoF,Boltz2,12,7,0,5,False,5,5,2,True,0.126,0.1122,0.2824,0.0958,0.4864,0.2972
1jfkA_2nxqB,AF2,100,0,3,97,False,0,3,97,False,0.0035,0.0281,0.2737,0.001,0.4791,0.53
1jfkA_2nxqB,AF3,100,0,5,95,False,0,5,95,False,-0.0096,0.0597,0.4461,-0.0222,0.4712,0.8912
1jfkA_2nxqB,ESM,21,0,20,1,False,7,5,9,True,-0.2536,0.0921,0.3119,-0.2507,0.5161,0.9205
1jfkA_2nxqB,MSAT,21,2,17,2,True,4,5,12,True,-0.1935,0.1313,0.4807,-0.1826,0.4561,0.7391
1jfkA_2nxqB,CCMpred,21,0,1,20,False,0,1,20,False,0.0,0.0227,0.1079,-0.0024,0.1319,0.2174
1jfkA_2nxqB,DDG,100,5,73,22,True,38,40,22,True,-2.8365,2.7696,11.3894,-3.1574,-6.3859,-7.0882
