pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,morans_I,morans_p,morans_z,morans_lambda_max,morans_max_perm,morans_I_norm,morans_n,morans_note,notes,n_clusters,morans_p_bh,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
1dzlA_5keqF,AF2,49,0,0,49,,,,,,,,-0.0297,0.7223,-0.617,0.3563,0.2886,-0.1688,49,,no_F1F2_split,49,0.8101038461538461,,,
1dzlA_5keqF,AF3,49,0,0,49,,,,,,,,0.0079,0.044,1.985,0.3563,0.2056,0.1271,49,,no_F1F2_split,49,0.10345945945945946,,,
1dzlA_5keqF,Boltz2,49,0,0,49,,,,,,,,-0.0312,0.7662,-0.734,0.3563,0.3131,-0.2126,49,,no_F1F2_split,49,0.9098625,,,
1dzlA_5keqF,BioEmu,49,0,0,49,,,,,,,,-0.0112,0.1908,0.726,0.3563,0.2949,0.0305,49,,no_F1F2_split,49,0.3916421052631579,,,
1dzlA_5keqF,ESM,49,0,1,48,,,,,,,,-0.0218,0.4496,-0.117,0.3563,0.2486,-0.0178,49,,no_F1F2_split,49,0.5225081081081081,,,
1dzlA_5keqF,MSAT,49,0,0,49,,,,,,,,,,,,,,5,zero_variance,no_F1F2_split,49,,,,
1dzlA_5keqF,CCMpred,49,0,0,49,,,,,,,,,,,,,,5,zero_variance,no_F1F2_split,49,,,,
1dzlA_5keqF,DDG,49,21,21,7,,,,,,,,0.0326,0.007,3.941,0.3563,0.2082,0.2335,49,,,49,0.011072727272727272,,,
1dzlA_5keqF,S4PRED,49,0,0,49,,,,,,,,0.0179,0.017,2.861,0.3563,0.3091,0.1172,49,,no_F1F2_split,49,0.04108333333333333,,,
1eboE_5fhcJ,AF2,44,4,15,25,,,,,,,,0.0297,0.002,6.287,0.1912,0.1378,0.3291,44,,,44,0.010875000000000001,,,
1eboE_5fhcJ,AF3,44,8,16,20,,,,,,,,0.0265,0.002,5.637,0.1912,0.1466,0.2932,44,,,44,0.01023529411764706,,,
1eboE_5fhcJ,Boltz2,44,18,17,9,,,,,,,,0.0594,0.001,9.055,0.1912,0.187,0.3932,44,,,44,0.0095,,,
1eboE_5fhcJ,BioEmu,44,0,7,37,,,,,,,,0.0067,0.004,4.008,0.1912,0.1141,0.2179,44,,no_F1F2_split,44,0.0208,,,
1eboE_5fhcJ,ESM,44,16,17,11,,,,,,,,0.0362,0.002,6.789,0.1912,0.187,0.283,44,,,44,0.005733333333333334,,,
1eboE_5fhcJ,MSAT,44,0,0,44,,,,,,,,,,,,,,2,n<3,no_F1F2_split,44,,,,
1eboE_5fhcJ,CCMpred,44,0,0,44,,,,,,,,,,,,,,2,n<3,no_F1F2_split,44,,,,
1eboE_5fhcJ,DDG,44,20,17,7,,,,,,,,0.0537,0.001,8.747,0.1912,0.1739,0.3902,44,,,44,0.0019333333333333336,,,
1eboE_5fhcJ,S4PRED,44,0,18,26,,,,,,,,0.0393,0.001,7.842,0.1912,0.1169,0.4463,44,,no_F1F2_split,44,0.00511764705882353,,,
1fzpD_2frhA,AF2,90,21,2,67,,,,,,,,0.0156,0.001,8.69,0.1578,0.1058,0.2297,90,,,90,0.007909090909090909,,,
1fzpD_2frhA,AF3,90,20,2,68,,,,,,,,0.0285,0.001,12.452,0.1578,0.0999,0.3578,90,,,90,0.006214285714285715,,,
1fzpD_2frhA,Boltz2,90,0,0,90,,,,,,,,,,,,,,0,n<3,no_F1F2_split,90,,,,
1fzpD_2frhA,BioEmu,90,16,11,63,,,,,,,,-0.0085,0.1249,1.048,0.1578,0.095,0.0255,90,,,90,0.27834857142857145,,,
1fzpD_2frhA,ESM,90,18,28,44,,,,,,,,0.0228,0.001,10.867,0.1578,0.1337,0.2345,90,,,90,0.003739130434782609,,,
1fzpD_2frhA,MSAT,90,0,2,88,,,,,,,,-0.1098,0.3407,0.651,0.112,-0.0318,0.2973,8,,no_F1F2_split,90,0.9578326086956522,,,
1fzpD_2frhA,CCMpred,90,0,0,90,,,,,,,,,,,,,,8,zero_variance,no_F1F2_split,90,,,,
1fzpD_2frhA,DDG,90,32,30,28,,,,,,,,0.0024,0.005,4.326,0.1578,0.1234,0.1012,90,,,90,0.008365384615384615,,,
1fzpD_2frhA,S4PRED,90,16,0,74,,,,,,,,0.0227,0.001,12.21,0.1578,0.0877,0.3428,90,,no_F1F2_split,90,0.00511764705882353,,,
